ko,name,description,disease_category
"H00566","Distal myopathy with anterior tibial onset","Distal myopathy with anterior tibial onset is an autosomal recessive muscle dystrophy caused by a dysferlin mutation. The disease is rapidly progressive, leading to severe proximal weakness.","Nervous system disease; Musculoskeletal disease"
"H02231","Optic disc anomalies with retinal and/or macular dystrophy","Optic disc anomalies with retinal and/or macular dystrophy (ODRMD) is an autosomal recessive ocular disorder. It has been reported that a homozygous SIX6 mutation is associated with optic disc anomalies and macular atrophy and reduces retinal ganglion cell differentiation.","Congenital malformation"
"H02003","Pyruvate dehydrogenase E3-binding protein deficiency","Defects in the pyruvate dehydrogenase (PDH) complex is a major cause of primary lactic acidosis and neurological dysfunction in infancy. E3 binding protein (E3BP, formerly Protein X) mediates association between the E2 core and the E3 enzyme. Primary defects of the E3BP appear to be a rare cause of pyruvate dehydrogenase deficiency.","Inherited metabolic disease"
"H00754","3-Methylglutaconic aciduria","3-Methylglutaconic aciduria (MGCA) is a group of metabolic disorders characterized by increased urinary excretion of 3-methylglutaconic acid and 3-methylglutaric acid. Nine distinct forms of MGCA have been recognized.","Inherited metabolic disease"
"H01686","Idiopathic portal hypertension","Idiopathic portal hypertension (IPH) is a disorder generally classified as a noncirrhotic portal hypertension of unknown etiology, and is clinically characterized by portal hypertension, splenomegaly, and pancytopenia. The principal pathologic changes of IPH are devastation of the intrahepatic terminal portal radicles with considerable portal fibrosis and secondary atrophy of the liver parenchyma that follows portal thrombosis. The incidence varies considerably with the country. In contrast to its high prevalence in India, IPH is comparatively a rare disorder in Western countries. Middle-aged women are more prone to IPH in Japan. IPH usually suggests a benign prognosis, but sometimes is complicated with severe hemorrhage due to ruptured esophageal varices, or massive splenomegaly. It is mainly managed by supportive treatment such as endoscopic, radiological and/or surgical management for esophageal varices and/or splenomegaly. The definite etiology of IPH is still uncertain, but there are several theories on the potential pathogenesis of IPH. These theories include immunological disorders, infections, and genetic variants.","Liver disease"
"H01827","Rolandic epilepsy, mental retardation, and speech dyspraxia","Rolandic epilepsy is the most  frequent childhood focal epilepsy. Mutations in GRIN2A has been detected in atypical rolandic epilepsy associated with verbal dyspraxia or with dysphasia. Recently, SRPX2 has been identified as being responsible for rolandic epilepsy associated with speech dyspraxia and mental retardation.","Nervous system disease"
"H01229","Inclusion body myopathy 3","Inclusion body myopathy 3 (IBM3) is an autosomal dominant myopathy associated with a heterozygous missense mutation in the myosin heavy chain (MyHC) IIa gene (MYH2), changing the highly conserved and negatively charged glutamate at position 706 to the positively charged lysine (E706K). This region is important for myosin functioning during muscle contraction, because it undergoes conformational changes during adenosine triphosphate (ATP) hydrolysis. Clinical characteristics include congenital joint contractures, a progressive course in adulthood, and external ophthalmoplegia.","Nervous system disease; Musculoskeletal disease"
"H00559","von Hippel-Lindau syndrome","von Hippel-Lindau syndrome is an autosomal dominant disorder associated with tumors in the central nervous system and other organs. The most frequent tumors are cerebellar and retinal haemangioblastomas, pancreatic neuroendocrine tumors, renal cell carcinoma, phaeochromocytoma in the adrenal gland, epididymal cystadenoma, and endolymphatic sac tumours. Germline inactivation of VHL tumor suppressor protein leads to the upregulation of HIF and promotes to carcinogenesis.","Congenital malformation"
"H00901","Cystinuria","Cystinuria is a inherited disorder of re-absorptive transport of cystine and the dibasic amino acids ornithine, arginine and lysine in the proximal tubule and small intestine. Diagnostically, urinary levels of dibasic amino acids lysine, arginine, and ornithine, and most prominently, of cystine are constantly elevated. Plasma levels of these amino acids in general are at the lower end of the normal range. Patients with cystinuria often present with nephro- or urolithiasis at almost at any age with a clear preference in childhood due to elevated urinary cystine. Early diagnosis is important, as it allows prevention or diminution of kidney stones. Mutations in either interacting subunit SLC3A1 (rBAT) or SLC7A9 (b0,+AT) cause cystinuria. Cystinuria due to mutations in SLC3A1 is an autosomal recessive trait, whereas mutations in SLC7A9 can be seen as an autosomal dominant trait.","Inherited metabolic disease; Urinary system disease; Kidney disease"
"H02458","Hydrocephalus due to congenital stenosis of aqueduct of sylvius","Hydrocephalus due to congenital stenosis of aqueduct of sylvius (HSAS) is a rare X-linked disease characterized by severe hydrocephaly. HSAS is the most common of the inherited form of hydrocephalus. It is caused by mutations in the L1 cell adhesion molecule (L1CAM) gene.","Congenital malformation"
"H02004","Fumarase deficiency","Fumarase deficiency (fumaric aciduria) is a rare autosomal recessive metabolic disorder caused by deficient activity of fumarate hydratase (FH, fumarase), one of the constituent enzymes of the Krebs tricarboxylic acid cycle. Patients usually present early in infancy with a severe encephalopathy, including hypotonia, developmental retardation, and seizures. Many of them have died during the first several years of life.","Inherited metabolic disease"
"H00753","Urofacial syndrome","The urofacial syndrome (UFS) is an autosomal recessive disorder characterized by the combination of urological problems and distorted facial expression. Failure of the urinary bladder to void in patients with UFS leads to recurrent urinary tract infection and subsequent renal failure.","Urinary system disease"
"H01681","Acute pancreatitis","Acute pancreatitis ranges from a mild, self- limiting disease to a life-threatening condition with multiple organ failure. Abdominal pain is the predominant symptom. Nausea and vomiting may accompany the pain. Patients frequently have a low-grade fever, tachycardia, and hypotension. The most common causes of acute pancreatitis are alcohol abuse and gallstones. The currently accepted pathogenic mechanism includes autodigestion and acute inflammation of the pancreas by the activation of proteases of the pancreas and acute inflammatory cells. Severe acute pancreatitis is defined by the presence of organ failure persisting beyond 48 hour. Organ failure that develops during the early phase is set in motion by the activation of cytokine cascades resulting in systemic inflammatory response syndrome (SIRS). Although effective therapies for acute pancreatitis are still limited, protease inhibitors have been considered to be a potential treatment to inhibit the pancreatic inflammation.","Pancreas disease"
"H00561","Brachydactyly-mental retardation syndrome","Brachydactyly mental retardation syndrome (BDMR), also known as Albright hereditary osteodystrophy-like syndrome, is a complex disorder characterized by brachydactyly and mental retardation including autism spectrum disorder. It has been confirmed that this disease is associated with some deletions of 2q37. Individuals with BDMR and Smith-Magenis syndrome (SMS) have very similar features. Mutation of the BDMR-causative gene HDAC4 results in reduced expression of RAI1, whose haploinsufficiency leads to SMS.","Chromosomal abnormality"
"H02236","Keppen-Lubinsky syndrome","Keppen-Lubinsky syndrome (KPLBS) is a rare condition characterized by severely reduced facial adipose tissue and thin facial skin combined with severe developmental delay and hypertonia. KPLBS is caused by mutations in KCNJ6, which encodes an inwardly rectifying potassium channel.","Congenital disorder of metabolism"
"H00105","Mannose-binding lectin pathway component defects","There is an increasing number of clinical studies indicating that deficiency of the lectin pathway has been associated with an increased risk, severity, and frequency of infections but also autoimmune disorders. MBL deficiency is one of the most common human immunodeficiencies and arises primarily from three single point mutations in exon 1 of the MBL-2 gene. These mutations result in a failure to assemble fully functional multimeric protein. Inherited MASP-2 deficiency has been described as the result of a mutation causing the exchange of aspartic acid with a glycine at position 105, a position in the first domain, CUB1, involved in calcium binding. This mutation abolishes the binding to MBL and ficolins, and deprives MASP-2 of functional activity.","Primary immunodeficiency"
"H00939","Darsun syndrome","G6PC3 deficiency is a syndromic variant of severe congenital neutropenia associated by complex organ malformation. Patients often have cardiac defects such as atrial septal defects, an increased superficial venous marking, and urogenital malformations. In the absence of G6PC3, increased ER stress makes neutrophils prone to undergo apoptosis and leads to defective organ development.","Congenital malformation"
"H02460","Neurodevelopmental disorder with dysmorphic facies and skeletal anomalies","Neurodevelopmental disorder (NED) with dysmorphic facies and skeletal anomalies is a group of syndromic neurodevelopmental disorders. Some of them have complications in addition to dysmorphic facies and skeletal anomalies. Several underlying genetic causes of these diseases have been identified.","Congenital malformation"
"H00337","Tetanus","Tetanus is a serious, often fatal intoxication caused by infection of Clostridium tetani, a gram-positive bacterium, through cuts or wounds. Mortality rate among untreated patients is high. Tetanus affects the muscles and nerves and manifests as muscle spasms in the jaw (lockjaw). Tetanus can be prevented by getting the tetanus vaccine.","Infectious disease"
"H01023","Juvenile polyposis syndrome","Juvenile polyposis syndrome (JPS) is an autosomal dominant condition identified by the presence of multiple benign, non-cancerous polyps called juvenile polyps in the gastrointestinal tract. A germline mutation in the SMAD4 or BMPR1A gene is found in about 50%-60% of patients with JPS. These genes play a role in the BMP/TGF-beta signalling pathway.","Gastrointestinal disease"
"H02494","Alkuraya-Kucinskas syndrome","Alkuraya-Kucinskas syndrome is an autosomal recessive syndrome characterized by brain atrophy with clubfoot and arthrogryposis. It has been reported that mutations in ALKKUCS are associated with this syndrome. ALKKUCS is required for synaptic vesicle recycling.","Congenital malformation"
"H01211","MECP2-related severe neonatal encephalopathy","MECP2-related severe neonatal encephalopathy is a rare disorder of males characterized by a static encephalopathy, severe developmental delays, hypotonia, seizures, and respiratory abnormalities that often leads to death at an early age. Mutations in the MECP2 gene cause this disease, and females with these same mutations typically have a disorder called Rett syndrome. Most boys with this disorder have been identified because they have female siblings with Rett syndrome.","Congenital malformation"
"H01675","Syringomyelia","Syringomyelia is a spinal disorder characterized by the presence of abnormal fluid-filled cavities within the spinal cord. Early symptoms include headache, altered pain and temperature sensation, and paresthesia. If fluid continues to enlarge the cyst, the syrinx has the potential to compress or destroy the affected portions of the spinal cord. Surgical intervention is typically recommended to treat this condition, although a successful procedure often is limited to providing minimal neurological improvement or simply halting the deterioration. The term syringomyelia describes many pathogenetically different disorders. A popular broad grouping is a classification based on the assumed pathogenesis and association with other disorders. It has been proposed to divide the disorder into three subgroups. (1) Syringomyelia as a result of changed cerebrospinal fluid (CSF) flow dynamics related to hindbrain disorders, e.g. Chiari malformation, Dandy-Walker syndrome, arachnoiditis or osseous abnormalities. (2) Syringomyelia as a result of intramedullary tissue damage caused by haemorrhage or infarction. (3) Syringomyelia as a result of intramedullary tumour with secretory capabilities. Other proposed classifications are based on syrinx fluid composition, central canal communication between syrinx and the fourth ventricle, or the microanatomical localisation of the syrinx.","Congenital malformation"
"H00595","Myofibrillar myopathies","Myofibrillar myopathy (MFM) is a group of genetically distinct disorders linked by common morphologic features observed on muscle histology. MFM is characterized by slowly progressive weakness that can involve both proximal and distal muscles. Distal muscle weakness is more pronounced than proximal weakness. All disease proteins identified to date are involved in maintaining the structural integrity of the Z-disk. The pathology includes accumulations of these proteins irrespective of primary gene defect, suggesting that these share molecular pathways involved in actin dynamics organized by the Z-disk. Besides accumulations of these proteins, congophilic amyloid products of myofibrillar degradation and ectopic aggregation of dystrophin and gelsolin appear in abnormal myofibers.","Nervous system disease; Musculoskeletal disease"
"H01447","Body dysmorphic disorder","Body dysmorphic disorder (BDD) is a psychiatric disorder in which individuals are preoccupied with imagined defects in their appearance, which are not noticeable or appear slight to others. It is characterized by time-consuming behaviors such as mirror gazing, comparing one's appearance with the appearance of others, excessive camouflaging to hide the defect, and seeking reassurance. Patients experience significant distress, disability, and functional impairment, often accompanied by depression and suicidality. There is some clinical and pathologic overlap between obsessive-compulsive disorder (OCD) and BDD such as obsessive thoughts and the performance of ritual behavior. Patients with BDD respond to treatment with serotonergic agents such as clomipramine or selective serotonin reuptake inhibitors (SSRIs), which suggests a dysfunction of central serotonergic neurotransmission as a possible etiological factor. A recent study suggests that cognitive-behavior therapy (CBT) was more effective than treatment with medications.","Mental and behavioural disorder"
"H00308","Vibrio vulnificus infection","Vibrio vulnificus is a gram-negative bacillus found in warm coastal waters. It causes two distinct syndromes: a primary septicemia related to seafood consumption and a necrotizing wound infection acquired by exposing open wounds to contaminated seawater.","Infectious disease"
"H00906","Macrocephaly, alopecia, cutis laxa, and scoliosis","Macrocephaly, alopecia, cutis laxa, and scoliosis is an autosomal-recessive disorder related to the cutis laxa group of inherited disorders associated with macrocephaly, sparse hair, redundant skin, hyperlaxity of joints, gingival hypertrophy, retrognathia with abnormal skull morphology, and severe scoliosis. Homozygous mutations in RIN2, a protein that is involved in the regulation of endocytosis, have been reported.","Skin and connective tissue disease"
"H02209","HARP syndrome","HARP (hypoprebetalipoproteinemia, acanthocytosis, retinitis pigmentosa, and pallidal degeneration) is a rare syndrome with many clinical similarities to pantothenate kinase associated neurodegeneration (PKAN). Both HARP and PKAN are caused by mutations in the gene encoding pantothenate kinase 2 (PANK2). HARP is distinguished by a specific lipoprotein abnormality. Patients have decreased or absent pre-beta lipoproteins consisting of very-low-density lipoproteins (VLDL).","Nervous system disease"
"H01478","Machado-Joseph disease","Machado-Joseph disease (MJD), also known as spinocerebellar ataxia type 3 (SCA3), is one of the most common hereditary ataxias and is distributed worldwide. MJD is an autosomal dominant neurodegenerative disorder, involving predominantly the cerebellar, pyramidal, extrapyramidal, motor neuron and oculomotor systems. Minor, but more specific, features such as external progressive ophthalmoplegia (EPO), dystonia, intention fasciculation-like movements of facial and lingual muscles, as well as bulging eyes, may also be of major importance for the clinical diagnosis of MJD. The mean age at onset is around 40 years. MJD is associated with CAG repeat expansions in the ATXN3 gene. CAG repeat varies in size among affected persons. There is no effective treatment of ataxia. Case series and small controlled trials of several medications including antianxiolytics, antidepressants, and antiepileptics have shown limited efficacy.","Neurodegenerative disease"
"H00798","Familial carpal tunnel syndrome","Carpal tunnel syndrome is an entrapment neuropathy of the median nerve characterized by paresthesias in the district of the median nerve. Familial carpal tunnel syndrome is an extremely rare form with bilateral symptom that is frequently associated with inherited systemic disorders such as mucopolysaccharidosis, mucolipidosis, amyloidosis, collagen vascular disease or hereditary liability to pressure palsies. The cause of the disease is the compression of the median nerve by thickened transverse carpal ligament. Mutations in transthyretin, a gene that plays a role in deposition of amyloid, have been reported.","Nervous system disease"
"H01820","Carney complex","Carney complex (CNC) is a rare multiple neoplasia syndrome characterized by pigmented lesions of the skin and mucosa, cardiac, cutaneous and other myxomas, and multiple endocrine tumors. Further manifestations include primary pigmented nodular adrenocortical disease (PPNAD) [DS:H00260] leading to Cushing's syndrome [DS:H01431], pituitary adenomas [DS:H01102], thyroid nodules, testicular neoplasms, ovarian cysts, psammomatous melanotic schwannomas, ductal breast adenomas and osteochondromyxomas. Most CNC patients initially present with adrenocorticotropic hormone (ACTH)-independent Cushing's syndrome due to PPNAD or heart myxomas. Skin lesions are the most common CNC manifestation: lentigines are present in 70 to 75% of patients with CNC. Blue nevi are also typical of CNC. CNC is caused by inactivating mutations or large deletions of the PRKAR1A gene coding for the regulatory subunit type I alpha of protein kinase A (PKA). It may be inherited as an autosomal dominant trait but in a significant number of patients the disease is sporadic, presumably due to de novo mutations.","Other disease"
"H01952","Glycogen storage disease type XII","Glycogen storage disease type XII (GSD-XII) is an autosomal recessive disorder of glycogen metabolism. GSD-XII is caused by mutations in the ALDOA gene, which encodes the red cell aldolase. The typical presentation is hemolytic anemia, neurologic abnormalities, and myopathy with exercise intolerance.","Inherited metabolic disease"
"H00880","Dyschromatosis symmetrica hereditaria","Dyschromatosis symmetrica hereditaria (DSH) is a pigmentary genodermatosis of autosomal dominant inheritance. It presents in infancy or early childhood as a mixture of hyperpigmented and hypopigmented macules on dorsa of hands and feet. It is caused by a mutation of adenosine deaminase acting on the RNA 1 gene (ADAR1).","Skin disease"
"H01738","Noonan syndrome","Noonan syndrome (NS) is an autosomal dominant disorder characterised by short stature, craniofacial dysmorphism, congenital cardiac defects, cryptorchidism in men, coagulation defects, and neurocognitive delay. In addition, individuals with NS have an increased risk of developing cancer. NS is caused by germline mutations in genes that encode components or regulators of the Ras/MAPK pathway. Heterozygous, pathogenic variants in 9 known genes account for approximately 80% of cases. The most common gene associated with NS is PTPN11, which accounts for approximately 50% of all cases.","Congenital malformation"
"H02149","X-linked hypercalciuric nephrolithiasis","X-linked hypercalciuric nephrolithiasis (XLHN) includes four syndromes: X-linked recessive nephrolithiasis with renal failure, Dent disease, X-linked recessive hypophosphatemic rickets, and Low molecular weight proteinuria with hypercalciuria and nephrocalcinosis. These syndromes differ in degree from each other, but common themes include proximal tubular reabsorptive failure, nephrolithiasis, nephrocalcinosis, progressive renal insufficiency, and in some cases rickets. They were reported independently, but mutations in the chloride channel gene CLCN5 have been identified in all four syndromes.","Urinary system disease"
"H00874","Leukoencephalopathy with dystonia and motor neuropathy","Leukoencephalopathy with dystonia and motor neuropathy is a disorder caused by a deficiency of sterol carrier protein-2 (SCPx), a peroxisomal enzyme with thiolase activity, which is required for the breakdown of branched-chain fatty acids. The patient presents with torticollis and dystonic head tremor as well as slight cerebellar signs with intention tremor, nystagmus, hyposmia, and azoospermia.","Nervous system disease; Congenital disorder of metabolism"
"H00048","Hepatocellular carcinoma","Hepatocellular carcinoma (HCC) is a major type of primary liver cancer and one of the rare human neoplasms etiologically linked to viral factors. It has been shown that, after HBV/HCV infection and alcohol or aflatoxin B1 exposure, genetic and epigenetic changes occur. The recurrent mutated genes were found to be highly enriched in multiple key driver signaling processes, including telomere maintenance, TP53, cell cycle regulation, the Wnt/beta-catenin pathway (CTNNB1 and AXIN1), the phosphatidylinositol-3 kinase (PI3K)/AKT/mammalian target of rapamycin (mTOR) pathway. Recent studies using whole-exome sequencing have revealed recurrent mutations in new driver genes involved in the chromatin remodelling (ARID1A and ARID2) and the oxidative stress (NFE2L2) pathways.","Cancer"
"H02182","Distal myopathy, Tateyama type","Distal myopathy, Tateyama type is a peculiar form of distal myopathy associated with reduced caveolin-3 in muscle fibers in which the muscle atrophy is restricted to the small muscles of the hands and feet. Gene analysis has been disclosed heterozygous mutations in the caveolin-3 gene.","Nervous system disease; Musculoskeletal disease"
"H01707","Ossified ligamentum flavum","Ossified ligamentum flavum (OLF) is a condition of heterotopic lamellar bone formation within the yellow ligament. OLF is a widely described pathology in eastern Asia and rare in other parts of the world. The disease process first causes hypertrophy of the ligamentum flavum and subsequent ossification, which narrows the spinal canal and leads to myeloradiculopathy. The lower thoracic spine is most commonly affected. Previous hyperkyphosis and mechanical stress are thought to be predisposing conditions. It is tempting to think that OLF is genetically or pathologically inherited based on abnormalities of calcium or phosphate metabolism, on endocrinologic abnormalities, or on the presence of autoimmune disease. Such relationships, however, have not been documented. Treatment of cervical stenosis related to OLF is based on the standard principle of managing neural spinal abnormalities. Acute episodes of pain and onset of or increase in neurological deficits are treated with rest, external spinal immobilization with a collar or brace, and analgesics, anti-inflammatory, and/or antispasmodic medicines. Surgery is indicated for patients with acute or chronic progression of neurological deficits or persistent neurological deficits.","Musculoskeletal disease"
"H01535","Eastern equine encephalitis","Eastern equine encephalitis is an infection of the central nervous system caused by Eastern equine encephalitis virus (EEEV), an alphavirus in the Togaviridae family of +ssRNA viruses, and transmitted by Culex mosquitoes. EEEV was first isolated in 1933 in Virginia, USA.","Infectious disease"
"H01151","Brevundimonas infection","Brevundimonas species are aerobic non-fermenting gram-negative bacilli. They are infrequently isolated from clinical samples and can cause opportunistic infections in patients with underlying diseases.","Infectious disease"
"H00083","Allograft rejection","Allograft rejection is the consequence of the recipient's alloimmune response to nonself antigens expressed by donor tissues. After transplantation of organ allografts, there are two pathways of antigen presentation. In the direct pathway, recipient T cells react to intact allogeneic MHC molecules expressed on the surface of donor cells. This pathway would activate host CD4 or CD8 T cells. In contrast, donor MHC molecules (and all other proteins) shed from the graft can be taken up by host APCs and presented to recipient T cells in the context of self-MHC molecules - the indirect pathway. Such presentation activates predominantly CD4 T cells. A direct cytotoxic T-cell attack on graft cells can be made only by T cells that recognize the graft MHC molecules directly. Nontheless, T cells with indirect allospecificity can contribute to graft rejection by activating macrophages, which cause tissue injury and fibrosis, and are also likely to be important in the development of an alloantibody response to graft.","Immune system disease"
"H01363","NARP syndrome","Neuropathy ataxia and retinis pigmentosa (NARP syndrome) is a mitochondrial disorder characterized by retinal, central and peripheral neurodegeneration. Point mutations of the mitochondrial DNA ATPase 6 gene cause this disease.","Inherited metabolic disease; Neurodegenerative disease; Mitochondrial disease"
"H01999","Pyruvate dehydrogenase E2 deficiency","Defects in the pyruvate dehydrogenase (PDH) complex is a major cause of primary lactic acidosis and neurological dysfunction in infancy. Recently, mutations in DLAT, the gene encoding dihydrolipoamide acetyltransferase, the E2 core component of the complex, have been described. Patients are less severely affected than typical patients with E1 mutations. Episodic dystonia was the major neurological manifestation.","Inherited metabolic disease"
"H00077","Progressive supranuclear palsy","Progressive supranuclear palsy (PSP) is a progressing degenerative disease belonging to the family of tauophaties caused by abnormalities in the microtubule-associated protein, tau. PSP presents with an atypical parkinsonism characterized by progressive axial rigidity, vertical gaze palsy, dysarthria and dysphagia. Although the majority of cases of progressive supranuclear palsy appear to be sporadic, the scarcity of familial cases may lack of recognition of the variable phenotypic expression of PSP. One in every 100,000 Americans over the age of 60 have PSP and patients are usually middle-aged or elderly, and men are affected more often than women.","Neurodegenerative disease"
"H01397","Tick-borne lymphadenopathy","Rickettsia species are arthropod-associated intracellular bacteria and cause diseases in human such as Tick-borne lymphadenopathy, Typhus fever and Spotted fever. Rickettsia slovaca has been isolated from Dermacentor ticks and is the main agent of tick-borne lymphadenopathy (TIBOLA), which is found only in Europe. Its symptoms are generally mild and can be characterized by inoculation eschar on the scalp and cervical lymphadenopathies after a tick bite. Moreover, most of the cases occur during European cool months related to the activity of Dermacentor ticks.","Infectious disease"
"H00245","Calcium sensing receptor (CASR) related disease","The mutations in the CASR gene which expresses in the parathyroid hormone producing chief cells of the parathyroid gland and the cells lining the kidney tubule affect calcium homeostasis. Loss-of-function mutations in the CASR gene are responsible for familial hypocalciuric hypercalcemia (FHH1) and for neonatal severe hyperparathyroidism (NSHPT). FHH1 is caused by homozygous mutations and characterized by benign symptoms with mild hypercalcaemia, whereas NSHPT is caused by homozygous mutations and characterized by more severe ones with severe hypercalcaemia and hyperparathyroid bone disease. Gain-of-function mutations are responsible for autosomal dominant hypocalcemia (ADH) that characterized by seizures in infancy, moderate hypocalcaemia and, absolute hypercalciuria.","Endocrine disease; Urinary system disease"
"H02176","Cryptorchidism","Cryptorchidism is the absence of at least one testicle from the scrotum. It is the most common birth defect involving the male genitalia. It is associated with a higher risk of developing testicular tumors in adulthood. Studies in humans have investigated the possibility that mutations in the INSL3 gene are the cause of cryptorchidism. It has shown that INSL3 is involved in testicular descent, however, mutations of this gene are not a frequent cause of cryptorchidism.","Congenital malformation"
"H00621","Alopecia neurologic defects and endocrinopathy syndrome","Alopecia neurological defects and endocrinopathy syndrome (ANE syndrome) is an autosomal recessive disease that is clinically heterogeneous. ANE syndrome patients display multiple signs including a varied amount of hair loss, mental retardation, progressive loss of motor ability beginning in the second decade of life, hypogonadism, central adrenal insufficiency, short stature, microcephaly, and several other skeletal and skin abnormalities. The syndrome is caused by decreased expression of the nucleolar protein RBM28, known to be required for biogenesis of the 60S subunit of the ribosome.","Ribosomopathy"
"H00413","Hepatitis C","Hepatitis C is a blood-borne infectious disease caused by Hepatitis C virus (HCV) belonging to the Flaviviridae family of +ssRNA viruses. HCV infection often becomes chronic and can lead to degenerative liver diseases including fibrosis and cirrhosis. Some of these may eventually lead to hepatocellular carcinoma.","Infectious disease"
"H02344","Cowchock syndrome","Cowchock syndrome (CMTX4) is a slowly progressive X-linked recessive disorder with axonal neuropathy, deafness, and cognitive impairment. This syndrome is associated with a mutation in AIFM1, the gene encoding apoptosis-inducing factor.","Nervous system disease"
"H00873","Cousin syndrome","Cousin syndrome arises from errors of morphogenesis. It is characterized by scapular and pelvic hypoplasia along with epiphyseal abnormalities, congenital dwarfism, and facial dysmorphy including cranial, cervical, and auricular malformations. Cousin syndrome is linked to TBX15 insufficiency.","Congenital malformation"
"H00619","Kenny-Caffey syndrome","Kenny-Caffey syndrome (KCS) is a rare hereditary bone dysplasia characterized by osteosclerosis with medullary stenosis of long bones with hypocalcemia and ocular abnormalities. Recurrent bacterial infections are common in patients with KCS. KCS is mostly inherited as an autosomal dominant trait. Recently, mutations in the FAM111A gene has been identified. Autosomal recessive cases have mutations in TBCE gene that encodes chaperone proteins of tubulins.","Congenital malformation"
"H02388","Infantile-onset limb and orofacial dyskinesia","Infantile-onset limb and orofacial dyskinesia (IOLOD) is a hyperkinetic movement disorder due to homozygous mutations in PDE10A, that encodes a dual cAMP-cGMP phosphodiesterase. PDE10A is enriched in the medium spiny neurons of the corpus striatum.","Nervous system disease"
"H01955","Glycogen storage disease type XV","Glycogen storage disease type XV(GSD-XV) is an autosomal recessive disorder of glycogen metabolism. GSD-XV is caused by mutations in the GYG1 gene, which encodes the glycogenin. The typical presentation is muscle weakness and cardiomyopathy.","Inherited metabolic disease"
"H00887","Lipoprotein glomerulopathy","Lipoprotein glomerulopathy is a rare hereditary disorder characterized by disturbed remnant lipoprotein catabolism and intravascular glomerular deposition of lipoprotein-containing thrombi. Patients usually present with proteinuria and hypertension, microhematuria is rare, and renal function becomes impaired. Rare mutations in apolipoprotein E (apoE) gene may contribute to the pathogenesis of the disease.","Inherited metabolic disease; Cardiovascular disease"
"H01169","Acetobacter infection","Acetobacter belongs to the group of acetic acid bacteria that oxidize alcohols or sugars incompletely. A. cibinongensis is one of the members that is mainly found in tropical fruits and flowers. A case of human infection with A. cibinongensis has been reported.","Infectious disease"
"H00289","Recurrent hydatidiform moles","Hydatidiform mole (HYDM) is an abnormal human pregnancy composed of hyperproliferative trophoblast occuring in approximately 1 in every 1500 pregnancies in Europe and North America. This incidence is higher in other areas in the world. Recurrent hydatidiform mole (RHM), the familial cases of the disease, is an autosomal recessive disorder in which molar tissues are diploid and have a biparental contribution to their genome. The molar tissues show abnormal epigenetic marking of maternal imprinted genes. Affected women have biallelic mutations in the NLRP7 gene (NALP7), a gene thought to be involved in inflammatory and apoptotic pathways.","Reproductive system diseases"
"H00414","Hepatitis D","Hepatitis D is caused by hepatitis D virus (HDV), also called hepatitis delta virus, which is a satellite that can infect human only in the presence of hepatitis B virus (HBV).","Infectious disease"
"H02343","EVEN-plus syndrome","EVEN-plus (epiphyseal, vertebral, ear, nose, plus associated findings) syndrome is a rare multiple congenital anomalies syndrome. Mutations in the HSPA9 gene, coding for the mitochondrial chaperone mortalin, cause EVEN-plus syndrome.","Congenital malformation"
"H02171","Rocio viral encephalitis","Rocio viral encephalitis is an infection of the central nervous system caused by Rocio virus (ROCV), a flavivirus in the Flaviviridae family of +ssRNA viruses, and transmitted by Culex mosquitoes. ROCV was first isolated in 1975 in Brazil.","Infectious disease"
"H00626","Focal segmental glomerulosclerosis","Focal segmental glomerulosclerosis (FSGS) is one of the most common forms of glomerular disorders leading to end stage kidney disease (ESKD). FSGS is defined as a clinicopathologic syndrome manifesting with high-grade proteinuria, associated with lesions of focal and segmental glomerular sclerosis and foot-process effacement. As the disease progresses, a more diffuse and global pattern of sclerosis evolves. FSGS accounts for 7-20 % of idiopathic nephrotic syndrome in children and 40 % in adults. There are two types of FSGS, primary (idiopathic) and secondary forms. The specific cause of primary FSGS has been ill-defined. Secondary FSGS is with recognized etiologic associations, including genetic mutations in podocyte-associated proteins, viruses, and drug toxicities. For the initial treatment of FSGS, corticosteroid and immunosuppressive therapy is recommended.","Urinary system disease"
"H01390","Mitochondrial neurogastrointestinal encephalomyopathy","Mitochondrial neurogastrointestinal encephalopathy (MNGIE) is an autosomal recessive neurodegenerative disorder associated with thymidine phosphorylase deficiency resulting in high levels of plasma thymidine and a characteristic clinical phenotype. The disease is characterized clinically by ptosis, progressive external ophthalmoparesis, gastrointestinal dysmotility, cachexia, peripheral neuropathy, and leukoencephalopathy. MNGIE is caused by TYMP mutations. Rare cases of MNGIE-like phenotype have been linked to RRM2B and POLG mutations.","Inherited metabolic disease; Neurodegenerative disease; Mitochondrial disease"
"H00242","Liddle syndrome","Liddle syndrome (LIDLS) is a rare form of autosomal dominant hypertension characterized by hypokalemic metabolic alkalosis, low-renin activity, and suppressed aldosterone secretion. The mutations in the epithelial Na+ channel gene cause failure of the protein endocytosis and accumulation of active channels at the cell surface, leading persistent absorption of Na+ and resulting in large blood volume and high blood pressure.","Cardiovascular disease"
"H00070","Galactosemia","Galactosemia (GALAC) is an autosomal recessive disorder caused by a defect in one of the enzyme genes for galactose metabolism. Newborns with the enzyme deficiency cannot properly metabolize milk sugar. Without treatment, toxic metabolites can cause severe growth problems including cataracts.","Inherited metabolic disease"
